index,smiles,stage,error
23,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
27,C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
120,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
135,C[N+]1=C2C=CC=CC2=NC3=CC=CC=C31.COS(=O)(=O)[O-],xTB,xTB returned code 1
155,[Na+].[Na+].[O-][S]([S-])(=O)=O,xTB,xTB returned code 1
156,[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,xTB,xTB returned code 1
157,[Na+].[K+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,xTB,xTB returned code 1
158,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=CC(=C3)S(=O)(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
161,[Na+].[Na+].[O-][S]([S-])(=O)=O,xTB,xTB returned code 1
162,[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,xTB,xTB returned code 1
163,[Na+].[K+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,xTB,xTB returned code 1
164,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=CC(=C3)S(=O)(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
167,[Na+].[Na+].[O-][S]([S-])(=O)=O,xTB,xTB returned code 1
168,[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,xTB,xTB returned code 1
169,[Na+].[K+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,xTB,xTB returned code 1
171,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=CC(=C3)S(=O)(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
173,[Na+].[Na+].[O-][S]([S-])(=O)=O,xTB,xTB returned code 1
174,[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,xTB,xTB returned code 1
175,[Na+].[K+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,xTB,xTB returned code 1
177,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=CC(=C3)S(=O)(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
186,C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],xTB,xTB returned code 1
196,C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],xTB,xTB returned code 1
201,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,xTB,xTB returned code 1
204,[Na+].F[P-](F)(F)(F)(F)F,3D generation,RDKit 3D embedding failed
207,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,xTB,xTB returned code 1
210,[Na+].F[P-](F)(F)(F)(F)F,3D generation,RDKit 3D embedding failed
211,[Na+].[Na+].[O-][S]([O-])(=O)=O,xTB,xTB returned code 1
213,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,xTB,xTB returned code 1
216,[Na+].[Na+].[O-][S]([O-])(=O)=O,xTB,xTB returned code 1
218,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,xTB,xTB returned code 1
222,[Na+].[Na+].[O-][S]([O-])(=O)=O,xTB,xTB returned code 1
510,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],xTB,xTB returned code 1
511,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
514,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
517,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],xTB,xTB returned code 1
518,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
521,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
524,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],xTB,xTB returned code 1
525,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],xTB,xTB returned code 1
526,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
529,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
532,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],xTB,xTB returned code 1
533,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],xTB,xTB returned code 1
534,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
537,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],xTB,xTB returned code 1
539,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],xTB,xTB returned code 1
