#,Zn_mole (mmol),Additive_mole (%),LogMolarRatio,Additive_SMILES,IUPAC_NAME,CE_1 (%),CE_2 (%),CE_3 (%),CE_aver. (%)
1,0.09515,0.01012,0.97309,OCC(F)(F)F,"2,2,2-trifluoroethan-1-ol",94.25269,93.07429,91.7632,93.03006
2,0.09515,0.01005,0.97625,CC1COC(=O)O1,"4-methyl-1,3-dioxolan-2-one",93.64392,93.42818,93.53304,93.53505
3,0.09515,0.01002,0.97765,CC#N,acetonitrile,91.76495,92.3291,91.22899,91.77435
4,0.09014,0.02025,0.64858,OCC(F)(F)F,"2,2,2-trifluoroethan-1-ol",92.31639,91.14595,92.10685,91.85639
5,0.09014,0.02009,0.65199,C1CCOC1,tetrahydrofuran,92.72257,91.8358,91.80316,92.12051
6,0.09014,0.0201,0.65174,CC1COC(=O)O1,"4-methyl-1,3-dioxolan-2-one",93.15314,93.22865,92.77491,93.05224
7,0.09014,0.02002,0.65351,CN(C)C(C)=O,"N,N-dimethylacetamide",93.22705,93.18728,93.01212,93.14215
8,0.08013,0.04049,0.29639,OCC(F)(F)F,"2,2,2-trifluoroethan-1-ol",91.88184,92.39646,91.80048,92.02626
9,0.08013,0.04018,0.29981,C1CCOC1,tetrahydrofuran,93.13252,94.2084,93.52091,93.62061
10,0.08013,0.0402,0.29955,CC1COC(=O)O1,"4-methyl-1,3-dioxolan-2-one",93.83576,93.72432,93.34975,93.63661
11,0.08013,0.04004,0.30133,CN(C)C(C)=O,"N,N-dimethylacetamide",93.88988,94.42155,93.41518,93.90887
12,0.08013,0.04007,0.30096,CC#N,acetonitrile,91.6457,93.09267,91.51584,92.08473
13,0.10004,0.00103,1.98592,C(C(F)(F)F)(C(F)(F)F)O,"1,1,1,3,3,3-hexafluoropropan-2-ol",92.42414,92.03786,92.22289,92.22829
14,0.10004,0.00102,1.99006,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,91.15882,91.24777,91.64002,91.34887
15,0.10004,0.00102,1.99096,[C@H]12CCC([C@H](OC1)O2)=O,"(1S,5R)-6,8-dioxabicyclo[3.2.1]octan-4-one",91.5168,92.25891,91.86986,91.88186
16,0.10026,0.00204,1.69238,COCCOC,"1,2-dimethoxyethane",93.31562,92.77993,93.08212,93.05922
17,0.10077,0.00409,1.39118,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,93.82195,93.60314,93.70084,93.70864
18,0.10077,0.00406,1.3953,CN(C)C(=O)C(F)(F)F,"2,2,2-trifluoro-N,N-dimethylacetamide",91.35892,92.00056,92.36923,91.90957
19,0.10077,0.00407,1.39355,COCCOC,"1,2-dimethoxyethane",93.52909,94.1774,93.84793,93.85147
20,0.10003,0.00503,1.29837,OCC(O)CO,"propane-1,2,3-triol",93.70942,93.26019,93.46985,93.47982
21,0.10003,0.00509,1.29346,COCCOC,"1,2-dimethoxyethane",93.73876,93.67036,93.69544,93.70152
